Blend,Oleic (%),Linoleic (%),Saponification (mg KOH/g),Viscosity (cP),Density (g/cm3),Acid (mg KOH/g),Iodine (g/100g),Peroxide (meq/kg),Flash (°C),Refractive Index,Melting (°C),Use_Cases
Soybean-Palm 60/40,23.4,52.7,195,52.5,0.915,0.7,130,1.8,245,1.468,-5.5,Food
Soybean-Palm 60/40,23.4,52.7,195,52.5,0.915,0.7,130,1.8,245,1.468,-5.5,Biodiesel
Cottonseed-Rice Bran 50/50,18.6,53.9,192.3,48.7,0.917,0.6,112.5,2.1,252.5,1.466,-3,Food
Cottonseed-Rice Bran 50/50,18.6,53.9,192.3,48.7,0.917,0.6,112.5,2.1,252.5,1.466,-3,Pharmaceuticals
Mustard-Linseed 70/30,30.2,19.1,187.5,59.3,0.913,1.2,142.1,1.5,240,1.47,-10,Industrial
Mustard-Linseed 70/30,30.2,19.1,187.5,59.3,0.913,1.2,142.1,1.5,240,1.47,-10,Pharmaceuticals
Sunflower-Coconut 60/40,19.5,45.8,205.1,43,0.919,0.3,125.3,2.4,230,1.459,7.5,Cosmetics
Sunflower-Coconut 60/40,19.5,45.8,205.1,43,0.919,0.3,125.3,2.4,230,1.459,7.5,Food
Groundnut-Sesame 50/50,41.7,39.4,193.8,51.2,0.914,0.5,117.6,1.9,235.5,1.467,-6,Nutraceuticals
Groundnut-Sesame 50/50,41.7,39.4,193.8,51.2,0.914,0.5,117.6,1.9,235.5,1.467,-6,Food
Neem-Karanja 60/40,22,37.5,198,56.3,0.918,1.5,108.5,2.2,240,1.464,-4,Biodiesel
Neem-Karanja 60/40,22,37.5,198,56.3,0.918,1.5,108.5,2.2,240,1.464,-4,Industrial
Palm Kernel-Soybean 50/50,26.5,49.2,204.5,50.1,0.916,0.4,120,1.9,238.5,1.465,-2.5,Biodiesel
Palm Kernel-Soybean 50/50,26.5,49.2,204.5,50.1,0.916,0.4,120,1.9,238.5,1.465,-2.5,Food
Corn-Rice Bran 60/40,30.3,52.7,192.8,47.5,0.914,0.6,122.7,2,250,1.466,-3.5,Pharmaceuticals
Corn-Rice Bran 60/40,30.3,52.7,192.8,47.5,0.914,0.6,122.7,2,250,1.466,-3.5,Food
Sesame-Linseed 70/30,28.9,55.1,190.7,49,0.913,0.8,138.3,1.7,245,1.467,-8,Pharmaceuticals
Sesame-Linseed 70/30,28.9,55.1,190.7,49,0.913,0.8,138.3,1.7,245,1.467,-8,Food
Sesame-Linseed 70/30,28.9,55.1,190.7,49,0.913,0.8,138.3,1.7,245,1.467,-8,Cosmetics
Cottonseed-Safflower 50/50,21.4,58.3,195.6,53.2,0.915,0.5,128.9,2.3,248,1.466,-5.5,Nutraceuticals
Cottonseed-Safflower 50/50,21.4,58.3,195.6,53.2,0.915,0.5,128.9,2.3,248,1.466,-5.5,Food
Refined Sunflower,37.5,57.5,194.6,55,0.913,0.4,93.2,2.7,244,1.467,-14.5,Biodiesel
High Oleic Sunflower,58.3,56.9,180,64.8,0.922,1,90.4,0.6,241,1.463,-13.8,Cosmetics
Canola-Rapeseed 70/30,37,32.8,195.7,45,0.92,0.97,92.6,2,226.8,1.46,8.7,Cosmetics
Palm-Coconut 60/40,48.8,29.3,180.3,45.8,0.915,1.09,123.5,2.6,226.9,1.463,-10.4,Cosmetics
Soybean-Canola 50/50,33.7,36,190.9,44.6,0.929,1.21,141.7,2.7,243.9,1.469,-12.8,Industrial
Soybean-Canola 50/50,33.7,36,190.9,44.6,0.929,1.21,141.7,2.7,243.9,1.469,-12.8,Biodiesel
Corn-Cottonseed 60/40,46.3,58.1,196.9,58.7,0.921,0.96,143.1,2,231,1.462,-10.9,Food
Palm-Kernel 70/30,74.2,48.6,184,40.1,0.926,1.12,130.1,2.4,223,1.463,-12.1,Industrial
Palm-Kernel 70/30,74.2,48.6,184,40.1,0.926,1.12,130.1,2.4,223,1.463,-12.1,Biodiesel
Olive-Palm 60/40,66,32.5,181.9,49.3,0.923,1.07,122.5,1.2,242.4,1.463,9.3,Pharmaceuticals
Coconut-Linseed 50/50,60.6,38.1,195.4,52.3,0.92,0.76,91.4,0.8,221.3,1.466,-7.1,Pharmaceuticals
Coconut-Linseed 50/50,60.6,38.1,195.4,52.3,0.92,0.76,91.4,0.8,221.3,1.466,-7.1,Food
Rice Bran-Sesame 70/30,56.7,17,192.1,53.5,0.914,1.43,122.9,2.2,255.2,1.466,-7.6,Industrial
Groundnut-Palm 60/40,67.3,50.2,183.7,62.3,0.921,1.25,139.3,1.3,224.4,1.462,-4.3,Cosmetics
Safflower-Corn 50/50,36.2,25.2,183.3,53.4,0.92,1.1,104.8,1.1,226.7,1.461,-1,Cosmetics
Walnut-Hazelnut 60/40,36.8,58.6,199.2,46.3,0.92,0.59,105.7,0.6,244.4,1.465,-13.7,Industrial
Mustard-Soybean 60/40,35.7,41.7,193.6,53.3,0.919,0.92,122.6,0.7,234.8,1.462,5.1,Industrial
Peanut-Sesame 70/30,52.9,41.7,190.7,42.3,0.927,0.62,100.3,0.6,243.6,1.466,-14.6,Pharmaceuticals
Palm-Sunflower 40/60,63.6,27.4,181.9,63.5,0.918,0.87,136.1,2.2,249.4,1.461,-1.5,Biodiesel
Almond-Olive 60/40,30.5,43,196.3,53.9,0.921,0.51,95.1,2.7,256,1.466,-6.5,Pharmaceuticals
Coconut-Castor 50/50,57,52.3,197.1,50.1,0.928,1.31,141.5,2.5,246.8,1.465,-5.7,Food
Neem-Pongamia 60/40,54.8,10.3,183.2,53.7,0.924,1.05,102.3,2.3,229.5,1.463,3.7,Food
Neem-Pongamia 60/40,54.8,10.3,183.2,53.7,0.924,1.05,102.3,2.3,229.5,1.463,3.7,Pharmaceuticals
Rapeseed-Jatropha 70/30,59.7,46,186.2,53.6,0.92,1.03,103.8,2,259.2,1.464,7.7,Pharmaceuticals
Palm-Rice Bran 60/40,62.7,35.1,191.5,52.3,0.914,1.14,105.4,0.6,245.8,1.461,8.5,Industrial
Soy-Pongamia 50/50,31.8,54.2,195,63.8,0.917,0.92,121.5,3,223,1.462,-10.2,Food
Tung-Castor 60/40,34,18.5,191.1,63.4,0.924,0.94,95.3,2,259.6,1.461,-2,Biodiesel
Coconut-Sesame 50/50,34.4,52.4,182.7,57.7,0.921,0.59,113.1,1.1,244.5,1.46,-14.9,Cosmetics
Avocado-Olive 70/30,62.9,42.5,194,59.9,0.928,0.64,110.7,0.7,243.1,1.459,-3.4,Industrial
Avocado-Olive 70/30,62.9,42.5,194,59.9,0.928,0.64,110.7,0.7,243.1,1.459,-3.4,Biodiesel
